Sort,Box id,Box name,Jobs inside,Job id,Name,Type,Box_name,Command,Machine,Owner,Permission,Date_condition,Days_of_week,Start_times,Condition,Description,Std_out_file,Std_err_file,Alarm_if_fail
1,2,BASIS_WEEKLY,5,2,BASIS_WEEKLY,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",1,su,18:30,"",BASIS_WEEKLY,"","",0
2,2,BASIS_WEEKLY,"",3,SAO_SAP_TEMSE_CLEANUP,c,BASIS_WEEKLY,auto_r3v45 -C BKAUTOSYS audit 3 job SAO_SAP_TEMSE_CLEANUP,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",SYSTEM TEMSE PURGE,"","",1
3,2,BASIS_WEEKLY,"",4,SAO_SAP_TEMSE_CONSISTENCY_CHK,c,BASIS_WEEKLY,auto_r3v45 -C BKAUTOSYS audit 3 job SAO_SAP_TEMSE_CONSISTENCY_CHK,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(SAO_SAP_TEMSE_CLEANUP),TEMSE OBJECT CONSISTENCY CHECK,"","",1
4,2,BASIS_WEEKLY,"",5,SAO_SAP_REORG_XMILOG,c,BASIS_WEEKLY,auto_r3v45 -C BKAUTOSYS audit 3 job SAO_SAP_REORG_XMILOG,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(SAO_SAP_TEMSE_CONSISTENCY_CHK),SAO_SAP_REORG_XMILOG - PURGES XMI LOGON INFO FROM XMI TABLES,"","",1
5,2,BASIS_WEEKLY,"",6,SAO_SAP_DBA_CHECKOPT,c,BASIS_WEEKLY,auto_r3v45 -C BKAUTOSYS audit 3 job SAO_SAP_DBA_CHECKOPT,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(SAO_SAP_REORG_XMILOG),SAO_SAP_DBA_CHECKOPT,"","",1
6,2,BASIS_WEEKLY,"",7,SAO_SAP_ROLE_AUDIT,c,BASIS_WEEKLY,auto_r3v45 -C BKAUTOSYS audit 3 job SAO_SAP_ROLE_AUDIT,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(SAO_SAP_DBA_CHECKOPT),SAO_SAP_ROLE_AUDIT,"","",1
7,8,RSD001,4,8,RSD001,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",1,all,00:30,"",RSD001,"","",0
8,8,RSD001,"",9,RSDU100,c,RSD001,auto_r3v45 -C BKAUTOSYS audit 3 job RSDU100,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",1,all,05:50,"",",RSDU100 -- Restaurant Daily","","",1
9,8,RSD001,"",10,RSDU101,c,RSD001,auto_r3v45 -C BKAUTOSYS audit 3 job RSDU101,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSDU101 -- Restaurant Daily,"","",1
10,8,RSD001,"",11,RSDU102,c,RSD001,auto_r3v45 -C BKAUTOSYS audit 3 job RSDU102,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSDU102 -- Restaurant Daily,"","",1
11,8,RSD001,"",12,RSDU200,c,RSD001,auto_r3v45 -C BKAUTOSYS audit 3 job RSDU200,bkpcis,bkpbtch@BKGLOBAL,"gx,ge,wx,we,mx,me",0,"","","",RSDU200 -- Restaurant Daily 2nd Feed,"","",1
12,13,RSW001,1,13,RSW001,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",1,mo,09:30,"",RDCC_WEEKLY,"","",0
13,13,RSW001,"",14,RSWU200,c,RSW001,auto_r3v45 -C BKAUTOSYS audit 3 job RSWU200,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(RIW_RODX_DECONVERT_RSWU200),RSWU200 - RDCC Friday Process,"","",1
14,15,RSW105,2,15,RSW105,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSW105,"","",0
15,15,RSW105,"",16,RSWU105,c,RSW105,auto_r3v45 -C BKAUTOSYS audit 3 job RSWU105,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSWU105  Weekly RDCC,"","",1
16,15,RSW105,"",17,RSWE105,c,RSW105,auto_r3v45 -C BKAUTOSYS audit 3 job RSWE105,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSWE105 Weekly RDCC,"","",1
17,18,RSD003,2,18,RSD003,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,ge,wx,we,mx,me",1,"su,tu,we,th,fr,sa",10:45,"",RSD003,"","",0
18,18,RSD003,"",19,RSDU201,c,RSD003,auto_r3v45 -C BKAUTOSYS audit 3 job RSDU201,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSDU201 -- Restaurant Daily 2nd Feed__NOT ON MONDAYS,"","",1
19,18,RSD003,"",20,RSDU202,c,RSD003,auto_r3v45 -C BKAUTOSYS audit 3 job RSDU202,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSDU201 -- Restaurant Daily 2nd Feed__NOT ON MONDAYS,"","",1
20,21,RSDUMEAL,1,21,RSDUMEAL,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",1,"mo,tu,we,th,fr",19:30,"",RSDUMEAL,"","",0
21,21,RSDUMEAL,"",22,RSDUMEL,c,RSDUMEAL,auto_r3v45 -C BKAUTOSYS audit 3 job RSDUMEL,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","",s(FBDFTPMEAL),RSDUMEL -- ZMEAL,"","",1
22,24,RSD401,2,24,RSD401,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,ge,wx,we,mx,me",0,"","","",RSD401,"","",0
23,24,RSD401,"",25,RSDE401,c,RSD401,auto_r3v45 -C BKAUTOSYS audit 3 job RSDE401,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSDE401,"","",1
24,24,RSD401,"",26,RSDU401,c,RSD401,auto_r3v45 -C BKAUTOSYS audit 3 job RSDU401,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",RSDU401,"","",1
25,27,LERGLCA,1,27,LERGLCA,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",LERGLCA_LEASE ACCT GL INTERFACE CANADA,"","",0
26,27,LERGLCA,"",28,LERIGLC,c,LERGLCA,auto_r3v45 -C BKAUTOSYS audit 3 job LERIGLC,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",LERIGLC_LEASE ACCT GL INTERFACE US,"","",1
27,29,LERGLI,1,29,LERGLI,b,"","",bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",LERGLI_LEASE ACCT GL INTERFACE US,"","",0
28,29,LERGLI,"",30,LERIGLI,c,LERGLI,auto_r3v45 -C BKAUTOSYS audit 3 job LERIGLI,bkpcis,bkpbtch@BKGLOBAL,"gx,wx,mx",0,"","","",LERIGLI_LEASE ACCT GL INTERFACE US,"","",1
29,31,FHDARIW,1,31,FHDARIW,b,"","",ptcapp11,bkpbtch@BKGLOBAL,"gx,wx,mx",1,all,06:30,s(DWDSALES),FHDARIW,"","",0
